id,image_url,wearing_occasion,style_silhouette,season,relative_path,relative_path
11879302,https://asset1.ruecdn.com/images/product/151172/1511723999_RLLDTH_1.jpg,Casual,Boots,Cold_Weather-Vacation,images/shoes/11879302.jpg,images/shoes/11879302.jpg
11879703,https://asset1.ruecdn.com/images/product/151166/1511669656_RLLDTH_1.jpg,Casual,Winter-Boots,Cold_Weather-Vacation,images/shoes/11879703.jpg,images/shoes/11879703.jpg
11880106,https://asset1.ruecdn.com/images/product/151162/1511622517_RLLDTH_1.jpg,Outdoor_Activity,Winter-Boots,Cold_Weather-Vacation,images/shoes/11880106.jpg,images/shoes/11880106.jpg
11880107,https://asset1.ruecdn.com/images/product/151162/1511622515_RLLDTH_1.jpg,Hiking-Outdoor_Activity,Hiking-Boots,Cold_Weather-Vacation,images/shoes/11880107.jpg,images/shoes/11880107.jpg
11880110,https://asset1.ruecdn.com/images/product/151162/1511622510_RLLDTH_1.jpg,Outdoor_Activity,Winter-Boots,Cold_Weather-Vacation,images/shoes/11880110.jpg,images/shoes/11880110.jpg
11880111,https://asset1.ruecdn.com/images/product/151162/1511622509_RLLDTH_1.jpg,Outdoor_Activity,Winter-Boots,Cold_Weather-Vacation,images/shoes/11880111.jpg,images/shoes/11880111.jpg
11880112,https://asset1.ruecdn.com/images/product/151162/1511622508_RLLDTH_1.jpg,Outdoor_Activity,High-Top-Sneakers,Cold_Weather-Vacation,images/shoes/11880112.jpg,images/shoes/11880112.jpg
11880564,https://asset1.ruecdn.com/images/product/151153/1511531159_RLLDTH_1.jpg,Ski_Snowboard-Sports,Winter-Boots,Cold_Weather-Vacation,images/shoes/11880564.jpg,images/shoes/11880564.jpg
11880831,https://asset1.ruecdn.com/images/product/151147/1511476288_RLLDTH_1.jpg,Ski_Snowboard-Sports,Winter-Boots,Cold_Weather-Vacation,images/shoes/11880831.jpg,images/shoes/11880831.jpg
11880860,https://asset1.ruecdn.com/images/product/151147/1511473599_RLLDTH_1.jpg,Outdoor-Slipper,Casual-Sneakers,Tropical-Vacation,images/shoes/11880860.jpg,images/shoes/11880860.jpg
11880963,https://asset1.ruecdn.com/images/product/151143/1511436948_RLLDTH_1.jpg,Outdoor_Activity,Winter-Boots,Cold_Weather-Vacation,images/shoes/11880963.jpg,images/shoes/11880963.jpg
11880969,https://asset1.ruecdn.com/images/product/151143/1511436942_RLLDTH_1.jpg,Outdoor-Slipper,Winter-Boots,Cold_Weather-Vacation,images/shoes/11880969.jpg,images/shoes/11880969.jpg
11880970,https://asset1.ruecdn.com/images/product/151143/1511436941_RLLDTH_1.jpg,Outdoor-Slipper,Winter-Boots,Cold_Weather-Vacation,images/shoes/11880970.jpg,images/shoes/11880970.jpg
11880978,https://asset1.ruecdn.com/images/product/151143/1511436921_RLLDTH_1.jpg,Casual,Chelsea-Boots,Cold_Weather-Vacation,images/shoes/11880978.jpg,images/shoes/11880978.jpg
11880979,https://asset1.ruecdn.com/images/product/151143/1511436920_RLLDTH_1.jpg,Casual,Chelsea-Boots,Cold_Weather-Vacation,images/shoes/11880979.jpg,images/shoes/11880979.jpg
11880982,https://asset1.ruecdn.com/images/product/151143/1511436915_RLLDTH_1.jpg,Outdoor_Activity,Winter-Boots,Cold_Weather-Vacation,images/shoes/11880982.jpg,images/shoes/11880982.jpg
11881480,https://asset1.ruecdn.com/images/product/151130/1511306038_RLLDTH_1.jpg,Casual,Slides,Tropical-Vacation,images/shoes/11881480.jpg,images/shoes/11881480.jpg
11881648,https://asset1.ruecdn.com/images/product/151125/1511252160_RLLDTH_1.jpg,Outdoor-Slipper,Winter-Boots,Cold_Weather-Vacation,images/shoes/11881648.jpg,images/shoes/11881648.jpg
11881777,https://asset1.ruecdn.com/images/product/151122/1511221104_RLLDTH_1.jpg,Outdoor-Slipper,Winter-Boots,Cold_Weather-Vacation,images/shoes/11881777.jpg,images/shoes/11881777.jpg
11882271,https://asset1.ruecdn.com/images/product/151100/1511003954_RLLDTH_1.jpg,Indoor,Slippers,Cold_Weather-Vacation,images/shoes/11882271.jpg,images/shoes/11882271.jpg
11941738,https://asset1.ruecdn.com/images/product/131399/1313998041_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11941738.jpg,images/shoes/11941738.jpg
11941793,https://asset1.ruecdn.com/images/product/131399/1313993974_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11941793.jpg,images/shoes/11941793.jpg
11941794,https://asset1.ruecdn.com/images/product/131399/1313993970_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11941794.jpg,images/shoes/11941794.jpg
11941881,https://asset1.ruecdn.com/images/product/131399/1313990852_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11941881.jpg,images/shoes/11941881.jpg
11941922,https://asset1.ruecdn.com/images/product/131398/1313985794_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11941922.jpg,images/shoes/11941922.jpg
11942008,https://asset1.ruecdn.com/images/product/131398/1313981168_RLLDTH_1.jpg,Casual,Mules,Tropical-Vacation,images/shoes/11942008.jpg,images/shoes/11942008.jpg
11942015,https://asset1.ruecdn.com/images/product/131398/1313980891_RLLDTH_1.jpg,Casual,Mules,Tropical-Vacation,images/shoes/11942015.jpg,images/shoes/11942015.jpg
11942016,https://asset1.ruecdn.com/images/product/131398/1313980890_RLLDTH_1.jpg,Casual,Mules,Tropical-Vacation,images/shoes/11942016.jpg,images/shoes/11942016.jpg
11942026,https://asset1.ruecdn.com/images/product/131398/1313980877_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942026.jpg,images/shoes/11942026.jpg
11942027,https://asset1.ruecdn.com/images/product/131398/1313980876_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942027.jpg,images/shoes/11942027.jpg
11942055,https://asset1.ruecdn.com/images/product/131398/1313980828_RLLDTH_1.jpg,Pool/Spa,Slides,Tropical-Vacation,images/shoes/11942055.jpg,images/shoes/11942055.jpg
11942068,https://asset1.ruecdn.com/images/product/131397/1313978746_RLLDTH_1.jpg,Casual,Mules,Tropical-Vacation,images/shoes/11942068.jpg,images/shoes/11942068.jpg
11942128,https://asset1.ruecdn.com/images/product/131397/1313977551_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942128.jpg,images/shoes/11942128.jpg
11942129,https://asset1.ruecdn.com/images/product/131397/1313977550_RLLDTH_1.jpg,Casual,Mules,Tropical-Vacation,images/shoes/11942129.jpg,images/shoes/11942129.jpg
11942130,https://asset1.ruecdn.com/images/product/131397/1313977549_RLLDTH_1.jpg,Pool/Spa,Slides,Tropical-Vacation,images/shoes/11942130.jpg,images/shoes/11942130.jpg
11942147,https://asset1.ruecdn.com/images/product/131397/1313973828_RLLDTH_1.jpg,Casual,Slides,Tropical-Vacation,images/shoes/11942147.jpg,images/shoes/11942147.jpg
11942159,https://asset1.ruecdn.com/images/product/131397/1313972264_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942159.jpg,images/shoes/11942159.jpg
11942203,https://asset1.ruecdn.com/images/product/131396/1313969937_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942203.jpg,images/shoes/11942203.jpg
11942233,https://asset1.ruecdn.com/images/product/131396/1313966613_RLLDTH_1.jpg,Casual,Slides,Tropical-Vacation,images/shoes/11942233.jpg,images/shoes/11942233.jpg
11942257,https://asset1.ruecdn.com/images/product/131396/1313962289_RLLDTH_1.jpg,Casual,Mules,Tropical-Vacation,images/shoes/11942257.jpg,images/shoes/11942257.jpg
11942273,https://asset1.ruecdn.com/images/product/131395/1313959274_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942273.jpg,images/shoes/11942273.jpg
11942279,https://asset1.ruecdn.com/images/product/131395/1313958873_RLLDTH_1.jpg,Pool/Spa,Slides,Tropical-Vacation,images/shoes/11942279.jpg,images/shoes/11942279.jpg
11942426,https://asset1.ruecdn.com/images/product/131395/1313951156_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942426.jpg,images/shoes/11942426.jpg
11942435,https://asset1.ruecdn.com/images/product/131395/1313950955_RLLDTH_1.jpg,Casual,Espadrilles,Tropical-Vacation,images/shoes/11942435.jpg,images/shoes/11942435.jpg
11942454,https://asset1.ruecdn.com/images/product/131394/1313949989_RLLDTH_1.jpg,Casual,Slides,Tropical-Vacation,images/shoes/11942454.jpg,images/shoes/11942454.jpg
11942459,https://asset1.ruecdn.com/images/product/131394/1313949981_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942459.jpg,images/shoes/11942459.jpg
11942460,https://asset1.ruecdn.com/images/product/131394/1313949980_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942460.jpg,images/shoes/11942460.jpg
11942518,https://asset1.ruecdn.com/images/product/131394/1313945905_RLLDTH_1.jpg,Casual,Mules,Tropical-Vacation,images/shoes/11942518.jpg,images/shoes/11942518.jpg
11942519,https://asset1.ruecdn.com/images/product/131394/1313945904_RLLDTH_1.jpg,Casual,Mules,Tropical-Vacation,images/shoes/11942519.jpg,images/shoes/11942519.jpg
11942540,https://asset1.ruecdn.com/images/product/131394/1313944649_RLLDTH_1.jpg,Day-Party,Slides,Tropical-Vacation,images/shoes/11942540.jpg,images/shoes/11942540.jpg
11942541,https://asset1.ruecdn.com/images/product/131394/1313944648_RLLDTH_1.jpg,Day-Party,Slides,Tropical-Vacation,images/shoes/11942541.jpg,images/shoes/11942541.jpg
11942611,https://asset1.ruecdn.com/images/product/131393/1313936414_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942611.jpg,images/shoes/11942611.jpg
11942632,https://asset1.ruecdn.com/images/product/131393/1313935293_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942632.jpg,images/shoes/11942632.jpg
11942633,https://asset1.ruecdn.com/images/product/131393/1313935292_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942633.jpg,images/shoes/11942633.jpg
11942639,https://asset1.ruecdn.com/images/product/131393/1313935283_RLLDTH_1.jpg,Pool/Spa,Slides,Tropical-Vacation,images/shoes/11942639.jpg,images/shoes/11942639.jpg
11942676,https://asset1.ruecdn.com/images/product/131393/1313931245_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942676.jpg,images/shoes/11942676.jpg
11942766,https://asset1.ruecdn.com/images/product/131392/1313924078_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942766.jpg,images/shoes/11942766.jpg
11942810,https://asset1.ruecdn.com/images/product/131392/1313922062_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942810.jpg,images/shoes/11942810.jpg
11942825,https://asset1.ruecdn.com/images/product/131392/1313920073_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942825.jpg,images/shoes/11942825.jpg
11942885,https://asset1.ruecdn.com/images/product/131391/1313918245_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942885.jpg,images/shoes/11942885.jpg
11942949,https://asset1.ruecdn.com/images/product/131391/1313912457_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942949.jpg,images/shoes/11942949.jpg
11942950,https://asset1.ruecdn.com/images/product/131391/1313912456_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942950.jpg,images/shoes/11942950.jpg
11942951,https://asset1.ruecdn.com/images/product/131391/1313912455_RLLDTH_1.jpg,Casual,Espadrilles,Tropical-Vacation,images/shoes/11942951.jpg,images/shoes/11942951.jpg
11942998,https://asset1.ruecdn.com/images/product/131391/1313910724_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11942998.jpg,images/shoes/11942998.jpg
11943041,https://asset1.ruecdn.com/images/product/131390/1313906946_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11943041.jpg,images/shoes/11943041.jpg
11943068,https://asset1.ruecdn.com/images/product/131390/1313905901_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11943068.jpg,images/shoes/11943068.jpg
11943070,https://asset1.ruecdn.com/images/product/131390/1313905400_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11943070.jpg,images/shoes/11943070.jpg
11943096,https://asset1.ruecdn.com/images/product/131390/1313903630_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11943096.jpg,images/shoes/11943096.jpg
11943097,https://asset1.ruecdn.com/images/product/131390/1313903629_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11943097.jpg,images/shoes/11943097.jpg
11943151,https://asset1.ruecdn.com/images/product/131389/1313898922_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11943151.jpg,images/shoes/11943151.jpg
11943152,https://asset1.ruecdn.com/images/product/131389/1313898921_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11943152.jpg,images/shoes/11943152.jpg
11943153,https://asset1.ruecdn.com/images/product/131389/1313898920_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11943153.jpg,images/shoes/11943153.jpg
11943154,https://asset1.ruecdn.com/images/product/131389/1313898919_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11943154.jpg,images/shoes/11943154.jpg
11943155,https://asset1.ruecdn.com/images/product/131389/1313898918_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11943155.jpg,images/shoes/11943155.jpg
11943156,https://asset1.ruecdn.com/images/product/131389/1313898917_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11943156.jpg,images/shoes/11943156.jpg
11943233,https://asset1.ruecdn.com/images/product/131388/1313889532_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11943233.jpg,images/shoes/11943233.jpg
11943272,https://asset1.ruecdn.com/images/product/131388/1313880974_RLLDTH_1.jpg,Casual,Smoking-Flats,Tropical-Vacation,images/shoes/11943272.jpg,images/shoes/11943272.jpg
11943343,https://asset1.ruecdn.com/images/product/131387/1313875828_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11943343.jpg,images/shoes/11943343.jpg
11943387,https://asset1.ruecdn.com/images/product/131387/1313871133_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11943387.jpg,images/shoes/11943387.jpg
11943586,https://asset1.ruecdn.com/images/product/131386/1313861310_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11943586.jpg,images/shoes/11943586.jpg
11944353,https://asset1.ruecdn.com/images/product/131377/1313775663_RLLDTH_1.jpg,Outdoor_Activity,Winter-Boots,Cold_Weather-Vacation,images/shoes/11944353.jpg,images/shoes/11944353.jpg
11944514,https://asset1.ruecdn.com/images/product/131374/1313744670_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11944514.jpg,images/shoes/11944514.jpg
11944638,https://asset1.ruecdn.com/images/product/131372/1313726944_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11944638.jpg,images/shoes/11944638.jpg
11944641,https://asset1.ruecdn.com/images/product/131372/1313726892_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11944641.jpg,images/shoes/11944641.jpg
11944758,https://asset1.ruecdn.com/images/product/131371/1313710070_RLLDTH_1.jpg,Pool/Spa,Slides,Tropical-Vacation,images/shoes/11944758.jpg,images/shoes/11944758.jpg
11944978,https://asset1.ruecdn.com/images/product/131368/1313683448_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11944978.jpg,images/shoes/11944978.jpg
11944979,https://asset1.ruecdn.com/images/product/131368/1313683447_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11944979.jpg,images/shoes/11944979.jpg
11945003,https://asset1.ruecdn.com/images/product/131368/1313682885_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11945003.jpg,images/shoes/11945003.jpg
11945052,https://asset1.ruecdn.com/images/product/131367/1313670584_RLLDTH_1.jpg,Party,Pumps,Tropical-Vacation,images/shoes/11945052.jpg,images/shoes/11945052.jpg
11945264,https://asset1.ruecdn.com/images/product/131365/1313651931_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11945264.jpg,images/shoes/11945264.jpg
11945590,https://asset1.ruecdn.com/images/product/131360/1313601136_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11945590.jpg,images/shoes/11945590.jpg
11945613,https://asset1.ruecdn.com/images/product/131358/1313585037_RLLDTH_1.jpg,Casual,Espadrilles,Tropical-Vacation,images/shoes/11945613.jpg,images/shoes/11945613.jpg
11945817,https://asset1.ruecdn.com/images/product/131353/1313535080_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11945817.jpg,images/shoes/11945817.jpg
11945887,https://asset1.ruecdn.com/images/product/131351/1313511235_RLLDTH_1.jpg,Day-Party,Booties,Cold_Weather-Vacation,images/shoes/11945887.jpg,images/shoes/11945887.jpg
11945934,https://asset1.ruecdn.com/images/product/131350/1313502489_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11945934.jpg,images/shoes/11945934.jpg
11945935,https://asset1.ruecdn.com/images/product/131350/1313502486_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11945935.jpg,images/shoes/11945935.jpg
11945996,https://asset1.ruecdn.com/images/product/131349/1313492372_RLLDTH_1.jpg,Outdoor_Activity,Booties,Cold_Weather-Vacation,images/shoes/11945996.jpg,images/shoes/11945996.jpg
11945997,https://asset1.ruecdn.com/images/product/131349/1313492195_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11945997.jpg,images/shoes/11945997.jpg
11945998,https://asset1.ruecdn.com/images/product/131349/1313492194_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11945998.jpg,images/shoes/11945998.jpg
11945999,https://asset1.ruecdn.com/images/product/131349/1313492193_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11945999.jpg,images/shoes/11945999.jpg
11946000,https://asset1.ruecdn.com/images/product/131349/1313492192_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11946000.jpg,images/shoes/11946000.jpg
11946027,https://asset1.ruecdn.com/images/product/131348/1313488518_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11946027.jpg,images/shoes/11946027.jpg
11946107,https://asset1.ruecdn.com/images/product/131348/1313483513_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11946107.jpg,images/shoes/11946107.jpg
11946209,https://asset1.ruecdn.com/images/product/131344/1313445982_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11946209.jpg,images/shoes/11946209.jpg
11946223,https://asset1.ruecdn.com/images/product/131344/1313443388_RLLDTH_1.jpg,Casual,Espadrilles,Tropical-Vacation,images/shoes/11946223.jpg,images/shoes/11946223.jpg
11946409,https://asset1.ruecdn.com/images/product/131336/1313368823_RLLDTH_1.jpg,Pool/Spa,Slides,Tropical-Vacation,images/shoes/11946409.jpg,images/shoes/11946409.jpg
11946629,https://asset1.ruecdn.com/images/product/131330/1313303473_RLLDTH_1.jpg,Pool/Spa,Slides,Tropical-Vacation,images/shoes/11946629.jpg,images/shoes/11946629.jpg
11946662,https://asset1.ruecdn.com/images/product/131329/1313291329_RLLDTH_1.jpg,Party,Boots,Fall,images/shoes/11946662.jpg,images/shoes/11946662.jpg
11946663,https://asset1.ruecdn.com/images/product/131329/1313291328_RLLDTH_1.jpg,Party,Boots,Fall,images/shoes/11946663.jpg,images/shoes/11946663.jpg
11946749,https://asset1.ruecdn.com/images/product/131325/1313252710_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11946749.jpg,images/shoes/11946749.jpg
11946806,https://asset1.ruecdn.com/images/product/131322/1313227047_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11946806.jpg,images/shoes/11946806.jpg
11946861,https://asset1.ruecdn.com/images/product/131319/1313198164_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11946861.jpg,images/shoes/11946861.jpg
11946928,https://asset1.ruecdn.com/images/product/131317/1313172035_RLLDTH_1.jpg,Casual,Flats,Tropical-Vacation,images/shoes/11946928.jpg,images/shoes/11946928.jpg
11946952,https://asset1.ruecdn.com/images/product/131316/1313163245_RLLDTH_1.jpg,Outdoor_Activity,Booties,Cold_Weather-Vacation,images/shoes/11946952.jpg,images/shoes/11946952.jpg
11947177,https://asset1.ruecdn.com/images/product/131306/1313062654_RLLDTH_1.jpg,Day-Party,Slides,Tropical-Vacation,images/shoes/11947177.jpg,images/shoes/11947177.jpg
11947260,https://asset1.ruecdn.com/images/product/131302/1313027783_RLLDTH_1.jpg,Day-Party,Slides,Tropical-Vacation,images/shoes/11947260.jpg,images/shoes/11947260.jpg
11947347,https://asset1.ruecdn.com/images/product/131302/1313021257_RLLDTH_1.jpg,Casual,Slides,Tropical-Vacation,images/shoes/11947347.jpg,images/shoes/11947347.jpg
11947420,https://asset1.ruecdn.com/images/product/131301/1313019860_RLLDTH_1.jpg,Day-Party,Pumps,Tropical-Vacation,images/shoes/11947420.jpg,images/shoes/11947420.jpg
